PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
000rZ,2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,d4e6 d6h2,633,93,100,616,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/seIMDWkD#25,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,
001KR,6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,h8g8 f1f8,588,81,100,177,mate mateIn1 middlegame oneMove,https://lichess.org/TaT1Zl7z/black#56,,
002Q2,7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28,f4h6 f5g3,911,78,100,428,cornerMate mate mateIn1 middlegame oneMove,https://lichess.org/yqAJ1jMv#55,,
002X3,6k1/2q2p1p/4pPp1/4P3/p1pP1P2/RrP5/6QP/4B1K1 b - - 0 33,b3a3 g2a8 c7b8 a8b8,970,168,100,10,endgame mate mateIn2 short,https://lichess.org/yshS3bLB/black#66,,
002vV,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,564,92,100,601,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/KB7FAntf#115,,
005Ep,5kr1/ppR3p1/3R3p/8/1r1n4/8/1P3PPP/2K5 b - - 4 31,d4b5 d6d8,752,84,100,389,endgame mate mateIn1 oneMove,https://lichess.org/ttFEoJfQ/black#62,,
005YX,2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25,c7e6 f7e6 c6b7 g7h8,1964,130,100,35,defensiveMove equality middlegame short,https://lichess.org/zbi5w5Qy#49,,
005gP,8/8/3p4/2kP4/1p4P1/2pK4/P7/8 w - - 1 42,g4g5 c5d5 g5g6 d5e6 g6g7 e6f7 a2a4 b4a3 g7g8r f7g8,1705,74,100,635,crushing enPassant endgame pawnEndgame veryLong,https://lichess.org/I76OvKQT#83,,
005x9,r1b1kb1Q/ppp4p/6pB/3P4/2pn4/8/PPP1qPPP/RN1K3R w q - 2 13,d1c1 e2c2,838,79,100,272,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/TiwHxq8n#25,Italian_Game Italian_Game_Rousseau_Gambit,
007AH,3r1n2/1bp1bkpp/p1q2n2/1p6/3P4/P1N3B1/1PP2PPP/R2QR1K1 w - - 5 18,d1e2 c6g2,637,83,100,153,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/MCM1Gmz4#35,Scandinavian_Defense Scandinavian_Defense_Valencian_Variation,
007hv,6k1/5p1p/1p4p1/p1bN1p2/2Pq1P2/1P5P/1P1Q2P1/7K w - - 1 32,d2c3 d4g1,1090,75,100,141,endgame master mate mateIn1 oneMove,https://lichess.org/i64FoDh8#63,,
007mr,5k2/p2r3p/1p4pP/3r1q2/3Rp3/2P5/PP3PQ1/K3R3 w - - 0 33,d4e4 d5d1 e1d1 d7d1,661,77,100,191,backRankMate endgame mate mateIn2 short,https://lichess.org/J12UnEgz#65,,
0082f,r4rk1/2q2ppp/3pp3/4Pb1N/pp6/1B4Q1/PPP3PP/1K1RR3 b - - 0 21,a4b3 g3g7,827,79,100,529,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/fHfmODEz/black#42,,
008aL,7k/6p1/1r5p/5p2/P2Rp3/4P3/5PPP/6K1 w - - 0 39,a4a5 b6b1 d4d1 b1d1,594,88,100,64,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/j2ECU5ud#77,,
008cl,r3k2r/ppp2p1p/2n1pp2/7q/2PN2b1/2BP1Pb1/PP2B1P1/R2Q1RK1 w kq - 1 16,f3g4 h5h2,908,77,100,477,mate mateIn1 middlegame oneMove,https://lichess.org/K27KSt2D#31,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,
